Date,Daily Returns for Mr X's Portfolio,Daily Returns for the S&P500,Daily Returns for Hasbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/01/2014,0.001949791,-0.000332965,-0.008611237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/01/2014,-0.001597868,-0.002511767,-0.007022753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/01/2014,0.005092398,0.006081764,0.000930554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/01/2014,-0.002167951,-0.000212209,-0.001115599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/01/2014,0.000576947,0.000348309,-0.013775161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2014,0.000463255,0.002306687,0.001132524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2014,-0.01115727,-0.012576217,-0.014894445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2014,0.007254909,0.010817972,0.001148367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2014,0.005396596,0.005166188,-0.0007647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2014,-0.001589297,-0.00134712,0.00153049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2014,-0.003106112,-0.003895175,-0.006685751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2014,0,0.002773752,-0.003653817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2014,-0.001309589,0.000574865,0.01080867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2014,-0.010066392,-0.008889577,-0.009738372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2014,-0.020635635,-0.020875449,-0.011376771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2014,0.00784397,0.006140652,0.017025483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2014,-0.010797365,-0.010209232,-0.022128165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2014,0.007805529,0.011267045,0.008264494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2014,-0.009349161,-0.006465299,-0.033831701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/02/2014,-0.02212641,-0.02283192,-0.021172564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/02/2014,0.006521356,0.007641089,0.012479161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/02/2014,-0.001476235,-0.002028222,0.001643342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/02/2014,0.012459351,0.012439793,0.018457791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/02/2014,0.012164465,0.013301887,0.008658873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2014,0.000477776,0.001569235,0.045318442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2014,0.012272402,0.011062114,0.000190958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2014,-0.001593975,-0.000269262,-0.00801982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/02/2014,0.003686522,0.005810025,0.018671742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/02/2014,0.006242977,0.004809217,-0.001889609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/02/2014,-0.001543298,0.001158474,0.002650505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/02/2014,-0.006999665,-0.006524484,0.017182768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/2014,0.00607386,0.006031458,0.007425318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2014,-0.002393377,-0.001918723,0.00055277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2014,0.006260782,0.006186513,0.00331492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/02/2014,-0.001062351,-0.001347682,0.00367108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
